Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2019-20,Last Dollar Scholarship,20,26,Davis,27,71069,Iowa,465214,POINT (-92.4097173 40.7476891),2020
2019-20,National Guard Educational Assistance,20,12,Butler,1,7665,Iowa,465201,POINT (-92.7901934 42.7315661),2020
2019-20,Iowa Tuition Grant,20,65,Mills,24,120132,Iowa,465253,POINT (-95.62132670000001 41.0334523),2020
2019-20,Iowa Tuition Grant For-Profit,20,45,Howard,1,2500,Iowa,465233,POINT (-92.3171989 43.3567673),2020
2019-20,Last Dollar Scholarship,20,62,Mahaska,40,104746,Iowa,465250,POINT (-92.6409094 41.3352035),2020
2019-20,Educational Training Voucher,20,91,Warren,1,2500,Iowa,465279,POINT (-93.5613594 41.3343735),2020
2019-20,All Iowa Opportunity Scholarship,20,21,Clay,8,22926,Iowa,465625,POINT (-95.1509194 43.0825804),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,26,Davis,1,5000,Iowa,465214,POINT (-92.4097173 40.7476891),2020
2019-20,Last Dollar Scholarship,20,79,Poweshiek,35,82370,Iowa,465267,POINT (-92.53146840000001 41.6864422),2020
2019-20,All Iowa Opportunity Scholarship,20,47,Ida,1,4644,Iowa,465235,POINT (-95.5134962 42.3868747),2020
2019-20,National Guard Educational Assistance,20,79,Poweshiek,4,21778,Iowa,465267,POINT (-92.53146840000001 41.6864422),2020
2019-20,All Iowa Opportunity Scholarship,20,94,Webster,20,73595,Iowa,465282,POINT (-94.18178810000002 42.4279662),2020
2019-20,Iowa Tuition Grant For-Profit,20,13,Calhoun,1,1250,Iowa,465202,POINT (-94.6404136 42.385184800000005),2020
2019-20,Vocational Technical Tuition Grant,20,24,Crawford,18,14800,Iowa,465212,POINT (-95.3819678 42.0372125),2020
2019-20,Futue Ready Grant,20,87,Taylor,0,0,Iowa,465275,POINT (-94.6964148 40.73743240000001),2020
2019-20,Kibbie Grant,20,78,Pottawattamie,118,126317,Iowa,465266,POINT (-95.5423935 41.3366123),2020
2019-20,Last Dollar Scholarship,20,90,Wapello,127,247526,Iowa,465278,POINT (-92.4094499 41.03058450000001),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,21,Clay,0,0,Iowa,465625,POINT (-95.1509194 43.0825804),2020
2019-20,GEAR UP Iowa Scholarship,20,29,Des Moines,0,0,Iowa,465217,POINT (-91.1814707 40.9231829),2020
2019-20,Educational Training Voucher,20,54,Keokuk,0,0,Iowa,465242,POINT (-92.1786426 41.336465),2020
2019-20,Futue Ready Grant,20,31,Dubuque,1,3500,Iowa,465219,POINT (-90.8824564 42.468832),2020
2019-20,Futue Ready Grant,20,92,Washington,0,0,Iowa,465280,POINT (-91.7178676 41.335591),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,53,Jones,0,0,Iowa,465241,POINT (-91.1314352 42.1212397),2020
2019-20,All Iowa Opportunity Scholarship,20,58,Louisa,4,13934,Iowa,465246,POINT (-91.2596184 41.2185073),2020
2019-20,GEAR UP Iowa Scholarship,20,20,Clarke,0,0,Iowa,465209,POINT (-93.78515790000002 41.0290323),2020
2019-20,All Iowa Opportunity Scholarship,20,79,Poweshiek,1,4644,Iowa,465267,POINT (-92.53146840000001 41.6864422),2020
2019-20,Futue Ready Grant,20,64,Marshall,0,0,Iowa,465252,POINT (-92.9987706 42.0358499),2020
2019-20,All Iowa Opportunity Scholarship,20,30,Dickinson,3,13932,Iowa,465218,POINT (-95.1508301 43.3779848),2020
2019-20,Futue Ready Grant,20,19,Chickasaw,0,0,Iowa,465208,POINT (-92.3176637 43.06004140000001),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,80,Ringgold,0,0,Iowa,465268,POINT (-94.2439719 40.7352023),2020
2019-20,National Guard Educational Assistance,20,34,Floyd,6,32449,Iowa,465222,POINT (-92.78900330000002 43.0599208),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,97,Woodbury,0,0,Iowa,465285,POINT (-96.0447673 42.3897169),2020
2019-20,Educational Training Voucher,20,66,Mitchell,0,0,Iowa,465254,POINT (-92.7890315 43.3564124),2020
2019-20,Kibbie Grant,20,64,Marshall,57,57368,Iowa,465252,POINT (-92.9987706 42.0358499),2020
2019-20,Kibbie Grant,20,97,Woodbury,95,104795,Iowa,465285,POINT (-96.0447673 42.3897169),2020
2019-20,Educational Training Voucher,20,81,Sac,0,0,Iowa,465269,POINT (-95.1053946 42.3862604),2020
2019-20,Iowa Tuition Grant,20,97,Woodbury,427,2127495,Iowa,465285,POINT (-96.0447673 42.3897169),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,48,Iowa,0,0,Iowa,465236,POINT (-92.065524 41.6863229),2020
2019-20,Vocational Technical Tuition Grant,20,51,Jefferson,13,8025,Iowa,465239,POINT (-91.9488774 41.0317596),2020
2019-20,GEAR UP Iowa Scholarship,20,25,Dallas,4,4500,Iowa,465213,POINT (-94.0397374 41.6848862),2020
2019-20,GEAR UP Iowa Scholarship,20,80,Ringgold,0,0,Iowa,465268,POINT (-94.2439719 40.7352023),2020
2019-20,Iowa Tuition Grant For-Profit,20,30,Dickinson,1,2500,Iowa,465218,POINT (-95.1508301 43.3779848),2020
2019-20,Futue Ready Grant,20,14,Carroll,0,0,Iowa,465203,POINT (-94.8605593 42.0362382),2020
2019-20,Iowa Tuition Grant For-Profit,20,53,Jones,4,1400,Iowa,465241,POINT (-91.1314352 42.1212397),2020
2019-20,Futue Ready Grant,20,56,Lee,0,0,Iowa,465244,POINT (-91.479264 40.6419764),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,90,Wapello,1,5000,Iowa,465278,POINT (-92.4094499 41.03058450000001),2020
